product_id,product_name,category,unit_cost,standard_price
1,Wireless Bluetooth Headphones,Electronics,35,49.99
2,USB-C Charging Cable 2m,Electronics,3.5,7.99
3,Portable Power Bank 10000mAh,Electronics,18,29.99
4,Smart LED Desk Lamp,Electronics,22,34.99
5,27-inch Monitor Full HD,Electronics,180,249.99
6,Wireless Keyboard and Mouse Set,Electronics,28,39.99
7,Noise Cancelling Earbuds,Electronics,55,79.99
8,Webcam HD 1080p,Electronics,30,44.99
9,External SSD 500GB,Electronics,42,59.99
10,Smart Watch Basic,Electronics,65,89.99
11,Stainless Steel Water Bottle,Home & Kitchen,6,14.99
12,Non-Stick Frying Pan 28cm,Home & Kitchen,12,24.99
13,Electric Kettle 1.7L,Home & Kitchen,15,29.99
14,Bamboo Cutting Board Set,Home & Kitchen,8,18.99
15,Glass Food Storage Containers,Home & Kitchen,10,22.99
16,Ceramic Coffee Mug Set of 4,Home & Kitchen,9,19.99
17,Kitchen Knife Set 5-Piece,Home & Kitchen,20,39.99
18,Automatic Soap Dispenser,Home & Kitchen,11,24.99
19,Cotton Crew Neck T-Shirt,Clothing,4.5,12.99
20,Slim Fit Chino Trousers,Clothing,12,29.99
21,Lightweight Rain Jacket,Clothing,18,44.99
22,Merino Wool Socks 3-Pack,Clothing,5,14.99
23,Classic Leather Belt,Clothing,8,22.99
24,Fleece Zip-Up Hoodie,Clothing,14,34.99
25,Denim Jacket Classic,Clothing,20,49.99
26,Casual Canvas Sneakers,Clothing,15,39.99
27,Performance Running Shorts,Clothing,7,19.99
28,Yoga Mat 6mm Non-Slip,Sports & Outdoor,10,24.99
29,Adjustable Dumbbell Set 10kg,Sports & Outdoor,25,49.99
30,Camping Headlamp LED,Sports & Outdoor,8,18.99
31,Insulated Hiking Backpack 30L,Sports & Outdoor,22,44.99
32,Resistance Bands Set,Sports & Outdoor,5,14.99
33,Compact Binoculars 10x42,Sports & Outdoor,30,54.99
34,Fitness Tracker Band,Sports & Outdoor,18,34.99
35,Foldable Camping Chair,Sports & Outdoor,15,32.99
36,Vitamin C Face Serum 30ml,Beauty & Personal Care,3.5,16.99
37,Natural Bamboo Toothbrush Set,Beauty & Personal Care,2,8.99
38,Moisturizing Hand Cream 100ml,Beauty & Personal Care,2.5,9.99
39,Hair Styling Clay 100g,Beauty & Personal Care,3,12.99
40,SPF50 Sunscreen Lotion 200ml,Beauty & Personal Care,4,14.99
41,Organic Lip Balm 3-Pack,Beauty & Personal Care,2,7.99
42,Charcoal Face Wash 150ml,Beauty & Personal Care,3,11.99
43,Essential Oil Diffuser Set,Beauty & Personal Care,8,24.99
44,A4 Notebook 200 Pages,Office Supplies,2.5,6.99
45,Ballpoint Pen Set 10-Pack,Office Supplies,2,5.99
46,Desktop File Organizer,Office Supplies,8,17.99
47,Ergonomic Mouse Pad with Wrist Rest,Office Supplies,5,12.99
48,Whiteboard Markers 8-Pack,Office Supplies,3,7.99
49,Document Shredder Compact,Office Supplies,35,59.99
50,Standing Desk Converter,Office Supplies,80,139.99
